model,AIM,AntiLM,None,OM,Sandbox
gpt-4o-mini,0.251234602282646,0.09525793444156803,2.119184619761238,1.148334004628671,0.10397568835206368
llama-3-8b,0.5202741781667557,0.5041718164414518,1.099664293581668,0.15551819463288305,0.21864623361176252
mistral-7b,-0.22041227858915083,-0.4351096644307249,0.20342304600633235,-0.0016615761347666287,-0.15926083515469938
