model,AIM,AntiLM,None,OM,Sandbox
gpt-4o-mini,0.23929517746312623,0.15729920705028502,8.352316881381348e-09,2.9797841167919748e-06,0.31326503028968206
llama-3-8b,0.06142545646187689,0.10723739200628245,3.3836112942459786e-05,0.39938156435530664,0.4297829008678587
mistral-7b,0.24981260439135763,0.17821866040854706,0.2669082017016648,0.8543408633324755,0.2819619304631741
