template,None,None,None,OM,OM,OM,AntiLM,AntiLM,AntiLM,AIM,AIM,AIM,Sandbox,Sandbox,Sandbox
prompt_set,English,CM,CMP,English,CM,CMP,English,CM,CMP,English,CM,CMP,English,CM,CMP
model,,,,,,,,,,,,,,,
gpt-4o-mini,-0.14422535211267604,0.7716666666666666,0.87,-0.6033333333333334,-0.25,-0.12,-0.62,-0.6466666666666666,-0.6216666666666667,-0.6366666666666667,-0.6216666666666667,-0.5716666666666667,-0.6366666666666667,-0.6383333333333333,-0.615
llama-3-8b,0.30833333333333335,0.62,0.5833333333333334,0.14666666666666667,-0.011666666666666664,-0.03666666666666667,0.56,0.48500000000000004,0.44,0.48666666666666664,0.52,0.5183333333333334,0.19166666666666665,0.11166666666666668,0.03
mistral-7b,1.0,0.9066666666666667,0.8300000000000001,1.0,0.9916666666666667,0.9566666666666667,1.0,0.975,0.9383333333333334,1.0,1.0,0.985,1.0,0.9883333333333333,0.9499999999999998
