model,AIM,AntiLM,OM,Sandbox
gpt-4o-mini,0.02932654382099979,0.05137069974579236,1.3776358300597238e-10,0.009840958582671004
llama-3-8b,1.386453969005732e-05,0.1472754330697194,0.0962545126658541,0.0033332336915470207
mistral-7b,0.0029491445535375885,0.00013966635183898195,0.5131442991642414,0.047724822593744866
