model,AIM,AntiLM,OM,Sandbox
gpt-4o-mini,0.2973306807581197,0.200498477562577,0.729172964700445,0.26978350409622553
llama-3-8b,0.48707587899685767,0.19345969530739357,0.19099963546551982,0.3456449877883989
mistral-7b,-0.2982581936713556,-0.40862204516055783,-0.08335598614827701,-0.1944493995728583
