test,p_value,effect_size,significant
English → CM,1.1328225996924673e-26,-0.22769270595412786,True
CM → CMP,0.2953610309305704,0.02055389092766506,False
English → CMP,3.7692851743774635e-21,-0.2115954807454785,True
Baseline → OM,4.107164313926167e-46,0.4276247101844244,True
Baseline → AntiLM,4.1578770037452916e-64,0.48662155217236985,True
Baseline → AIM,2.451288156795715e-103,0.7243045021531805,True
Baseline → Sandbox,8.755797328496814e-79,0.6131675785178746,True
